epoch,loss
1,2.6942960827246956
2,2.5277254322300786
3,2.4518808852071348
4,2.4275723073793496
5,2.3963500961013464
6,2.3771079338115193
7,2.36749086431835
8,2.364187717437744
9,2.338646912056467
10,2.346944430600042
11,2.3112239319345225
12,2.321267547814742
13,2.314155778159266
14,2.321279790090478
15,2.3137970592664634
16,2.294289047303407
17,2.299895169942275
18,2.3089150890060095
19,2.2966715149257495
20,2.3046758563622185
21,2.2863505119862766
22,2.289730051289434
23,2.3171256676964136
24,2.3074655817902605
25,2.289170558037965
26,2.318312188853388
27,2.288067190543465
28,2.3029657498649927
29,2.300137820451156
30,2.291965145131816
