epoch,loss
1,2.761258355949236
2,1.4757071733474731
3,1.0275591041730798
4,0.7593564546626547
5,0.6259694536742957
6,0.5206541376917259
7,0.4643640359458716
8,0.43398389090662415
9,0.399280711684538
10,0.3725369805875032
11,0.36168235961509787
12,0.34791830765164417
13,0.33668104429607804
14,0.32704003349594446
15,0.32128601035346155
16,0.3164188929873964
17,0.3111314676378084
18,0.3049421443239502
19,0.29927494117747183
20,0.29515166548283206
21,0.29053026567334717
22,0.2908016712121341
23,0.2873635097690251
24,0.28379796089037607
25,0.28397299219732697
26,0.27988655865192413
27,0.28059260838705563
28,0.27916695857825485
29,0.27729375660419464
30,0.2768036794403325
