epoch,loss
1,0.3086223910036294
2,0.28084278268658597
3,0.2764441137728484
4,0.2723685813986737
5,0.26924322415953095
6,0.267267015317212
7,0.26623728741770203
8,0.266605235312296
9,0.2640893485235131
10,0.2638655518708022
11,0.2646133216178935
12,0.26469487178584805
13,0.26673252815785614
14,0.2672956002795178
15,0.26414669564236765
16,0.2642037061893422
17,0.2627656770789105
18,0.2613290739448174
19,0.261838429324005
20,0.26306017941754795
21,0.2628357760284258
22,0.26452047944716783
23,0.2658184669587923
24,0.26342980239702307
25,0.2617836345149123
26,0.26323231698378274
27,0.2612890329049981
28,0.2614850557368735
29,0.26274743757170177
30,0.2603576139587423
