epoch,loss
1,0.05996328422232815
2,0.03987829917636902
3,0.037149649153908955
4,0.03612522064181774
5,0.03471802579967872
6,0.03345812873347946
7,0.032517752974577575
8,0.03221088688334693
9,0.031949988768800446
10,0.03175374695464321
11,0.03148295803238516
12,0.031212358573532623
13,0.03139641310047844
14,0.03130216815549394
15,0.031139003112912178
16,0.030929786153137684
17,0.030927367508411407
18,0.03105365493051384
19,0.030725410451059757
20,0.030755606965850227
21,0.030609110248801502
22,0.030503527666239635
23,0.0304012431398682
24,0.030380555388072262
25,0.030473928372173206
26,0.030278231138768402
27,0.030269125031064385
28,0.030142315217982166
29,0.030213788759125317
30,0.030250070859556614
